Course,URL,University
Population Health Informatics,https://www.si.umich.edu/programs/courses/611,University of Michigan
Pervasive Interaction Design,https://www.si.umich.edu/programs/courses/612,University of Michigan
Advanced Topics in Graphic Design and Communication,https://www.si.umich.edu/programs/courses/616,University of Michigan
Choice Architecture,https://www.si.umich.edu/programs/courses/617,University of Michigan
Data Manipulation and Analysis,https://www.si.umich.edu/programs/courses/618,University of Michigan
Collection Development and Management,https://www.si.umich.edu/programs/courses/620,University of Michigan
Needs Assessment and Usability Evaluation,https://www.si.umich.edu/programs/courses/622,University of Michigan
Research Methods for Information Professionals,https://www.si.umich.edu/programs/courses/623,University of Michigan
Digital Preservation,https://www.si.umich.edu/programs/courses/625,University of Michigan
Managing and Leading the IT Org,https://www.si.umich.edu/programs/courses/627,University of Michigan
Access Systems,https://www.si.umich.edu/programs/courses/629,University of Michigan
Natural Language Processing: Algorithms and People,https://www.si.umich.edu/programs/courses/630,University of Michigan
Agile Software Development for Content Management Systems,https://www.si.umich.edu/programs/courses/631,University of Michigan
Appraisal of Archives,https://www.si.umich.edu/programs/courses/632,University of Michigan
Content Management Systems Configuration and Site Building,https://www.si.umich.edu/programs/courses/634,University of Michigan
Content Management Systems and Web Frameworks,https://www.si.umich.edu/programs/courses/635,University of Michigan
"Makerspaces, Maker Culture, Maker Tools",https://www.si.umich.edu/programs/courses/636,University of Michigan
Web Archiving,https://www.si.umich.edu/programs/courses/639,University of Michigan
Digital Libraries and Archives,https://www.si.umich.edu/programs/courses/640,University of Michigan
Instructional Skills for Information Professionals,https://www.si.umich.edu/programs/courses/643,University of Michigan
Information Economics,https://www.si.umich.edu/programs/courses/646,University of Michigan
Information Resources and Services,https://www.si.umich.edu/programs/courses/647,University of Michigan
Evaluation Methods in Health Informatics,https://www.si.umich.edu/programs/courses/648,University of Michigan
Information Visualization,https://www.si.umich.edu/programs/courses/649,University of Michigan
Information Retrieval,https://www.si.umich.edu/programs/courses/650,University of Michigan
Electronic Commerce,https://www.si.umich.edu/programs/courses/652,University of Michigan
Evidence-Informed Decision-Making for the 21st Century Health Care,https://www.si.umich.edu/programs/courses/653,University of Michigan
Critical Policy Issues in Health IT,https://www.si.umich.edu/programs/courses/654,University of Michigan
Information Architecture,https://www.si.umich.edu/programs/courses/658,University of Michigan
Developing AR/VR Experiences,https://www.si.umich.edu/programs/courses/659,University of Michigan
Experimental Social Computing Systems,https://www.si.umich.edu/programs/courses/660,University of Michigan
Managing Health Informatics,https://www.si.umich.edu/programs/courses/661,University of Michigan
Entrepreneurship in the Information Industry,https://www.si.umich.edu/programs/courses/663,University of Michigan
Database Application Design,https://www.si.umich.edu/programs/courses/664,University of Michigan
Organization of Information Resources,https://www.si.umich.edu/programs/courses/666,University of Michigan
Foundations of Digital Curation,https://www.si.umich.edu/programs/courses/667,University of Michigan
Developing Mobile Experiences,https://www.si.umich.edu/programs/courses/669,University of Michigan
Applied Machine Learning,https://www.si.umich.edu/programs/courses/670,University of Michigan
Data Mining: Methods and Applications,https://www.si.umich.edu/programs/courses/671,University of Michigan
Applied Clinical Informatics,https://www.si.umich.edu/programs/courses/672,University of Michigan
Digitization Cultural Heritage Materials,https://www.si.umich.edu/programs/courses/675,University of Michigan
Preserving Sound and Motion,https://www.si.umich.edu/programs/courses/678,University of Michigan
Advanced User Research in the Field,https://www.si.umich.edu/programs/courses/682,University of Michigan
Designing Consumer-Health Technologies,https://www.si.umich.edu/programs/courses/684,University of Michigan
User-Generated Content,https://www.si.umich.edu/programs/courses/686,University of Michigan
Global Information Engagement Program,https://www.si.umich.edu/programs/courses/688,University of Michigan
Social User Experience,https://www.si.umich.edu/programs/courses/689,University of Michigan
Independent Study,https://www.si.umich.edu/programs/courses/691,University of Michigan
Developing Social Computing,https://www.si.umich.edu/programs/courses/694,University of Michigan
Big Data Analytics,https://www.si.umich.edu/programs/courses/696,University of Michigan
Master's Thesis Option Program,https://www.si.umich.edu/programs/courses/698,University of Michigan
MSI Mastery Courses,https://www.si.umich.edu/programs/courses/699,University of Michigan
Doctoral Foundations Seminar,https://www.si.umich.edu/programs/courses/701,University of Michigan
Seminar in Organizational Studies,https://www.si.umich.edu/programs/courses/702,University of Michigan
First Semester Experience,https://www.si.umich.edu/programs/courses/705,University of Michigan
"Knowledge/Power/Practice in Science, Technology, and Medicine",https://www.si.umich.edu/programs/courses/719,University of Michigan
Data Mining: Methods and Applications,https://www.si.umich.edu/programs/courses/721,University of Michigan
"Qualitative Methods: The purpose of this seminar is to examine, critique current research employing, and begin to utilize a variety of qualitative methods. The course will focus on the design of qualitative studies, selection of data collection method",https://www.si.umich.edu/programs/courses/724,University of Michigan
Unorthodox Research Methods,https://www.si.umich.edu/programs/courses/755,University of Michigan
Research Methods,https://www.si.umich.edu/programs/courses/840,University of Michigan
Research Methods Course in Experimental Methods: This course will be an introduction to experimental methods and some of the major subject areas that have been addressed by laboratory and field experiments. We will discuss basic principles and concret,https://www.si.umich.edu/programs/courses/860,University of Michigan
