Course_Name,Link
Land Economics,http://www.lincoln.ac.nz/ECON 211
International Trade,http://www.lincoln.ac.nz/ECON 212
Macroeconomic Issues and Policies,http://www.lincoln.ac.nz/ECON 216
"Markets, firms and consumers",http://www.lincoln.ac.nz/ECON 217
International Economics,http://www.lincoln.ac.nz/ECON 302
Econometrics,http://www.lincoln.ac.nz/ECON 307
The Economics of Food Markets and Policy,http://www.lincoln.ac.nz/ECON 325
The Economics of Natural Resources and the Environment,http://www.lincoln.ac.nz/ECON 326
The Economics of Development,http://www.lincoln.ac.nz/ECON 327
International Trade,http://www.lincoln.ac.nz/ECON 602
Development Economics,http://www.lincoln.ac.nz/ECON 603
Quantitative Economic Analysis,http://www.lincoln.ac.nz/ECON 609
Applied Research Methods,http://www.lincoln.ac.nz/ECON 615
Engineering I,http://www.lincoln.ac.nz/ENGN 023
Engineering II,http://www.lincoln.ac.nz/ENGN 076
Building Construction,http://www.lincoln.ac.nz/ENGN 105
"Land Surfaces, Water and Structures",http://www.lincoln.ac.nz/ENGN 106
Precision Agriculture,http://www.lincoln.ac.nz/ENGN 201
Food Engineering,http://www.lincoln.ac.nz/ENGN 230
Buildings Facilities Management,http://www.lincoln.ac.nz/ENGN 232
Agricultural Engineering,http://www.lincoln.ac.nz/ENGN 276
Winery Equipment and Structure,http://www.lincoln.ac.nz/ENGN 361
Advanced Entomology,http://www.lincoln.ac.nz/ENTO 612
Environmental Analysis,http://www.lincoln.ac.nz/ERST 201
Environmental Analysis with Geographic Information Systems,http://www.lincoln.ac.nz/ERST 202
Environmental Monitoring and Resource Assessment,http://www.lincoln.ac.nz/ERST 203
Principles of Urban and Regional Planning,http://www.lincoln.ac.nz/ERST 205
Environmental Policy,http://www.lincoln.ac.nz/ERST 302
GIS and Applications in Natural Resource Analysis,http://www.lincoln.ac.nz/ERST 310
Catchment Management,http://www.lincoln.ac.nz/ERST 313
Risk and Resilience,http://www.lincoln.ac.nz/ERST 330
Environmental Planning,http://www.lincoln.ac.nz/ERST 340
Design or Research Essay,http://www.lincoln.ac.nz/ERST 398
Research Essay,http://www.lincoln.ac.nz/ERST 399
Advanced Theory in Resource Studies,http://www.lincoln.ac.nz/ERST 601
"Advanced Urban, Regional and Resource Planning",http://www.lincoln.ac.nz/ERST 604
Advanced Geographic Information Systems A,http://www.lincoln.ac.nz/ERST 606
Advanced Geographic Information Systems B,http://www.lincoln.ac.nz/ERST 607
Advanced Energy and Transport Planning,http://www.lincoln.ac.nz/ERST 608
Advanced Risk and Resilience,http://www.lincoln.ac.nz/ERST 609
Advanced Environmental Management Systems,http://www.lincoln.ac.nz/ERST 620
Principles of Environmental Impact Assessment,http://www.lincoln.ac.nz/ERST 621
Advanced Professional Planning Methods and Practice,http://www.lincoln.ac.nz/ERST 624
Systems Thinking and Dynamics,http://www.lincoln.ac.nz/ERST 625
Environmental Policy and Planning,http://www.lincoln.ac.nz/ERST 630
Economics in Environmental Policy,http://www.lincoln.ac.nz/ERST 632
Applied Policy Analysis,http://www.lincoln.ac.nz/ERST 634
Group Case Study,http://www.lincoln.ac.nz/ERST 635
Aspects of Sustainability: An International Perspective,http://www.lincoln.ac.nz/ERST 636
Finance Fundamentals,http://www.lincoln.ac.nz/FINC 101
Financial Management,http://www.lincoln.ac.nz/FINC 204
Investments,http://www.lincoln.ac.nz/FINC 211
Corporate Financial Strategy,http://www.lincoln.ac.nz/FINC 304
Investment Management,http://www.lincoln.ac.nz/FINC 305
International Finance,http://www.lincoln.ac.nz/FINC 307
"International Financial Markets, Institutions and Policy",http://www.lincoln.ac.nz/FINC 310
Futures and Options,http://www.lincoln.ac.nz/FINC 312
Finance Theory and Corporate Policy,http://www.lincoln.ac.nz/FINC 601
Commercial Banking,http://www.lincoln.ac.nz/FINC 603
"Finance, Futures and Options",http://www.lincoln.ac.nz/FINC 604
Microfinance,http://www.lincoln.ac.nz/FINC 605
Financial Reporting and Analysis,http://www.lincoln.ac.nz/FINC 615
Investment Management,http://www.lincoln.ac.nz/FINC 616
Food Quality and Consumer Acceptance,http://www.lincoln.ac.nz/FOOD 101
Processing Food for Consumers,http://www.lincoln.ac.nz/FOOD 201
Food Safety and Microbiology,http://www.lincoln.ac.nz/FOOD 202
Food Product Innovation and Quality,http://www.lincoln.ac.nz/FOOD 301
Advanced Food Processing,http://www.lincoln.ac.nz/FOOD 302
Food Biochemistry and Biotechnology,http://www.lincoln.ac.nz/FOOD 303
Microbial Biotechnology,http://www.lincoln.ac.nz/FOOD 304
Design or Research Essay,http://www.lincoln.ac.nz/FOOD 398
Research Placement,http://www.lincoln.ac.nz/FOOD 399
Food Processing and Quality,http://www.lincoln.ac.nz/FOOD 601
Food and Nutritional Biochemistry,http://www.lincoln.ac.nz/FOOD 602
Food Product Innovation,http://www.lincoln.ac.nz/FOOD 604
Design or Research Essay,http://www.lincoln.ac.nz/FOOD 698
Research Placement,http://www.lincoln.ac.nz/FOOD 699
Applied Agroforestry,http://www.lincoln.ac.nz/FORS 070
Applied Agroforestry,http://www.lincoln.ac.nz/FORS 270
Agroforestry,http://www.lincoln.ac.nz/FORS 304
Genetics,http://www.lincoln.ac.nz/GENE 201
Applied Genetics and Breeding,http://www.lincoln.ac.nz/GENE 301
Advanced Breeding and Genetics,http://www.lincoln.ac.nz/GENE 601
Propagation and Nursery,http://www.lincoln.ac.nz/HORT 022
Amenity Horticulture,http://www.lincoln.ac.nz/HORT 071
Fruit Crop Production,http://www.lincoln.ac.nz/HORT 072
Fruit Crop Production,http://www.lincoln.ac.nz/HORT 272
"Development Policy, Theory and Issues",http://www.lincoln.ac.nz/IRDV 601
Landscape Planting Practice,http://www.lincoln.ac.nz/LASC 206
Planting Design and Management,http://www.lincoln.ac.nz/LASC 211
"Landscape Analysis, Planning and Design",http://www.lincoln.ac.nz/LASC 215
Site Design,http://www.lincoln.ac.nz/LASC 216
Design Details,http://www.lincoln.ac.nz/LASC 217
Landscape and Culture,http://www.lincoln.ac.nz/LASC 218
Special Topic in Food Landscapes,http://www.lincoln.ac.nz/LASC 230
Landscape Ecology,http://www.lincoln.ac.nz/LASC 312
Innovative Design (A),http://www.lincoln.ac.nz/LASC 316
Landscape Assessment and Planning,http://www.lincoln.ac.nz/LASC 318
Innovative Design (B),http://www.lincoln.ac.nz/LASC 319
Structure Plans,http://www.lincoln.ac.nz/LASC 321
Sustainable Design and Planning,http://www.lincoln.ac.nz/LASC 322
Practicum: Applied Landscape Practice,http://www.lincoln.ac.nz/LASC 393
Advanced Design Theory,http://www.lincoln.ac.nz/LASC 401
Complex Design,http://www.lincoln.ac.nz/LASC 406
Major Design,http://www.lincoln.ac.nz/LASC 409
Design Critique,http://www.lincoln.ac.nz/LASC 410
Landscape Architecture Professional Practice (Special Topic),http://www.lincoln.ac.nz/LASC 415
Advanced Site Design,http://www.lincoln.ac.nz/LASC 610
Advanced Practice in Landscape Architecture,http://www.lincoln.ac.nz/LASC 612
Advanced Theory in Landscape Architecture,http://www.lincoln.ac.nz/LASC 613
Advanced Landscape Planning and Policy,http://www.lincoln.ac.nz/LASC 615
Landscape Management,http://www.lincoln.ac.nz/LASC 616
Advanced Design Study,http://www.lincoln.ac.nz/LASC 617
Landscape Assessment,http://www.lincoln.ac.nz/LASC 620
Design or Research Essay,http://www.lincoln.ac.nz/LASC 698
Introduction to Commercial Law,http://www.lincoln.ac.nz/LWST 114
Commercial Law 1,http://www.lincoln.ac.nz/LWST 201
Property Law,http://www.lincoln.ac.nz/LWST 203
Resource Management Law,http://www.lincoln.ac.nz/LWST 302
Advanced Resource Management and Planning Law,http://www.lincoln.ac.nz/LWST 602
"Land, People and Economies",http://www.lincoln.ac.nz/LINC 101
Sustainable Futures,http://www.lincoln.ac.nz/LINC 201
Farm Management Systems A,http://www.lincoln.ac.nz/MGMT 024
Farm Management Systems B,http://www.lincoln.ac.nz/MGMT 025
Horticultural Management Systems A,http://www.lincoln.ac.nz/MGMT 026
Horticultural Management Systems B,http://www.lincoln.ac.nz/MGMT 027
Horticultural Management,http://www.lincoln.ac.nz/MGMT 072
Farm Management,http://www.lincoln.ac.nz/MGMT 073
Primary Industry Systems,http://www.lincoln.ac.nz/MGMT 103
Global Food Systems,http://www.lincoln.ac.nz/MGMT 106
Principles of Agricultural Systems,http://www.lincoln.ac.nz/MGMT 201
Analysis of Agricultural Systems,http://www.lincoln.ac.nz/MGMT 202
Agricultural Systems and Sustainability,http://www.lincoln.ac.nz/MGMT 203
Horticultural Systems,http://www.lincoln.ac.nz/MGMT 214
Horticultural Management Analysis,http://www.lincoln.ac.nz/MGMT 216
The Agribusiness Environment,http://www.lincoln.ac.nz/MGMT 222
The Food Regulatory Environment,http://www.lincoln.ac.nz/MGMT 223
Analysis and Planning in Agricultural Systems,http://www.lincoln.ac.nz/MGMT 316
Development and Investment in Agricultural Systems,http://www.lincoln.ac.nz/MGMT 317
Opportunity Analysis in Agricultural Systems,http://www.lincoln.ac.nz/MGMT 318
Vineyard and Winery Management,http://www.lincoln.ac.nz/MGMT 325
Agribusiness Strategic Management,http://www.lincoln.ac.nz/MGMT 340
Integrated Agribusiness and Food Marketing Strategy,http://www.lincoln.ac.nz/MGMT 341
Management Research Methods,http://www.lincoln.ac.nz/MGMT 611
Planning and Assessing International Development Projects,http://www.lincoln.ac.nz/MGMT 615
International Agribusiness Systems,http://www.lincoln.ac.nz/MGMT 624
