Course,URL,University
Environmental Design (ENV DES),http://guide.berkeley.edu/courses/env_des/,"University of California, Berkeley"
Environmental Economics and Policy (ENVECON),http://guide.berkeley.edu/courses/envecon/,"University of California, Berkeley"
"Environmental Science, Policy, and Management (ESPM)",http://guide.berkeley.edu/courses/espm/,"University of California, Berkeley"
Environmental Sciences (ENV SCI),http://guide.berkeley.edu/courses/env_sci/,"University of California, Berkeley"
Ethnic Studies (ETH STD),http://guide.berkeley.edu/courses/eth_std/,"University of California, Berkeley"
European Studies (EUST),http://guide.berkeley.edu/courses/eust/,"University of California, Berkeley"
Filipino (FILIPN),http://guide.berkeley.edu/courses/filipn/,"University of California, Berkeley"
Film and Media (FILM),http://guide.berkeley.edu/courses/film/,"University of California, Berkeley"
Financial Engineering (MFE),http://guide.berkeley.edu/courses/mfe/,"University of California, Berkeley"
Finnish (FINNISH),http://guide.berkeley.edu/courses/finnish/,"University of California, Berkeley"
Folklore (FOLKLOR),http://guide.berkeley.edu/courses/folklor/,"University of California, Berkeley"
French (FRENCH),http://guide.berkeley.edu/courses/french/,"University of California, Berkeley"
Gender and Women's Studies (GWS),http://guide.berkeley.edu/courses/gws/,"University of California, Berkeley"
Geography (GEOG),http://guide.berkeley.edu/courses/geog/,"University of California, Berkeley"
German (GERMAN),http://guide.berkeley.edu/courses/german/,"University of California, Berkeley"
Global Metropolitan Studies (GMS),http://guide.berkeley.edu/courses/gms/,"University of California, Berkeley"
Global Poverty and Practice (GPP),http://guide.berkeley.edu/courses/gpp/,"University of California, Berkeley"
Global Studies (GLOBAL),http://guide.berkeley.edu/courses/global/,"University of California, Berkeley"
Graduate Student Professional Development Program (GSPDP),http://guide.berkeley.edu/courses/gspdp/,"University of California, Berkeley"
Greek (GREEK),http://guide.berkeley.edu/courses/greek/,"University of California, Berkeley"
Health and Medical Sciences (HMEDSCI),http://guide.berkeley.edu/courses/hmedsci/,"University of California, Berkeley"
Hebrew (HEBREW),http://guide.berkeley.edu/courses/hebrew/,"University of California, Berkeley"
Hindi (HINDI),http://guide.berkeley.edu/courses/hindi/,"University of California, Berkeley"
History (HISTORY),http://guide.berkeley.edu/courses/history/,"University of California, Berkeley"
Hungarian (HUNGARI),http://guide.berkeley.edu/courses/hungari/,"University of California, Berkeley"
Icelandic (ICELAND),http://guide.berkeley.edu/courses/iceland/,"University of California, Berkeley"
Indigenous Languages of Americas (ILA),http://guide.berkeley.edu/courses/ila/,"University of California, Berkeley"
Indonesian (INDONES),http://guide.berkeley.edu/courses/indones/,"University of California, Berkeley"
Industrial Engineering and Operations Research (IND ENG),http://guide.berkeley.edu/courses/ind_eng/,"University of California, Berkeley"
Information and Cybersecurity (CYBER),http://guide.berkeley.edu/courses/cyber/,"University of California, Berkeley"
Information (INFO),http://guide.berkeley.edu/courses/info/,"University of California, Berkeley"
Integrative Biology (INTEGBI),http://guide.berkeley.edu/courses/integbi/,"University of California, Berkeley"
Interdisciplinary Studies Field Major (ISF),http://guide.berkeley.edu/courses/isf/,"University of California, Berkeley"
International and Area Studies (IAS),http://guide.berkeley.edu/courses/ias/,"University of California, Berkeley"
Iranian (IRANIAN),http://guide.berkeley.edu/courses/iranian/,"University of California, Berkeley"
Italian Studies (ITALIAN),http://guide.berkeley.edu/courses/italian/,"University of California, Berkeley"
Japanese (JAPAN),http://guide.berkeley.edu/courses/japan/,"University of California, Berkeley"
Jewish Studies (JEWISH),http://guide.berkeley.edu/courses/jewish/,"University of California, Berkeley"
Journalism (JOURN),http://guide.berkeley.edu/courses/journ/,"University of California, Berkeley"
Khmer (KHMER),http://guide.berkeley.edu/courses/khmer/,"University of California, Berkeley"
Korean (KOREAN),http://guide.berkeley.edu/courses/korean/,"University of California, Berkeley"
Landscape Architecture (LD ARCH),http://guide.berkeley.edu/courses/ld_arch/,"University of California, Berkeley"
Language Proficiency Program (LAN PRO),http://guide.berkeley.edu/courses/lan_pro/,"University of California, Berkeley"
Latin American Studies (LATAMST),http://guide.berkeley.edu/courses/latamst/,"University of California, Berkeley"
Latin (LATIN),http://guide.berkeley.edu/courses/latin/,"University of California, Berkeley"
Legal Studies (LEGALST),http://guide.berkeley.edu/courses/legalst/,"University of California, Berkeley"
Lesbian Gay Bisexual Transgender Studies (LGBT),http://guide.berkeley.edu/courses/lgbt/,"University of California, Berkeley"
Letters and Science (L&S),http://guide.berkeley.edu/courses/l_s/,"University of California, Berkeley"
Library and Information Studies (LINFOST),http://guide.berkeley.edu/courses/linfost/,"University of California, Berkeley"
Linguistics (LINGUIS),http://guide.berkeley.edu/courses/linguis/,"University of California, Berkeley"
Materials Science and Engineering (MAT SCI),http://guide.berkeley.edu/courses/mat_sci/,"University of California, Berkeley"
Mathematics (MATH),http://guide.berkeley.edu/courses/math/,"University of California, Berkeley"
Mechanical Engineering (MEC ENG),http://guide.berkeley.edu/courses/mec_eng/,"University of California, Berkeley"
Media Studies (MEDIAST),http://guide.berkeley.edu/courses/mediast/,"University of California, Berkeley"
Medieval Studies (MED ST),http://guide.berkeley.edu/courses/med_st/,"University of California, Berkeley"
Middle Eastern Studies (M E STU),http://guide.berkeley.edu/courses/m_e_stu/,"University of California, Berkeley"
