Course,University,URL
"ACTING, BFA",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/acting-bfa/
"ARCHITECTURE, B.ARCH.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-barch/
"ARCHITECTURE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
"ART EDUCATION, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
"ART HISTORY, B.A.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
"ART, B.A. (ARTS AND ARCHITECTURE)",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
"ART, B.F.A.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-bfa/
"DANCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/dance-bs/
"DIGITAL MULTIMEDIA DESIGN, B.DES.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/digital-multimedia-design-bdes/
"GRAPHIC DESIGN, B.DES.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
"INTEGRATIVE ARTS, B.A. (ARTS AND ARCHITECTURE)",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/integrative-arts-ba/
"INTERDISCIPLINARY DIGITAL STUDIO, B.DES.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/interdisciplinary-digital-studio-bdes/
"LANDSCAPE ARCHITECTURE, B.L.A.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/landscape-architecture-bla/
"MUSIC EDUCATION, B.M.E.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-education-bme/
"MUSIC, B.A.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
"MUSIC, B.M.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-bm/
"MUSICAL ARTS, B.M.A.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/musical-arts-bma/
