Course,University,URL
International Studies (Comparative Religion/Jewish Studies) (JSIS C),University of Washington,http://www.washington.edu/students/crscat/jsisc.html
International Studies (JSIS D),University of Washington,http://www.washington.edu/students/crscat/jsisd.html
International Studies (Language) (JSIS E),University of Washington,http://www.washington.edu/students/crscat/jsise.html
Jewish Studies (JEW ST),University of Washington,http://www.washington.edu/students/crscat/jewst.html
Jackson School of International Studies,University of Washington,http://www.washington.edu/students/crscat/jewst.html
"Law, Societies, and Justice (LSJ)",University of Washington,http://www.washington.edu/students/crscat/lsj.html
American Sign Language (ASL),University of Washington,http://www.washington.edu/students/crscat/asl.html
Linguistics (LING),University of Washington,http://www.washington.edu/students/crscat/ling.html
Mathematics (MATH),University of Washington,http://www.washington.edu/students/crscat/math.html
Microbiology (MICROM) -- See Microbiology under School of Medicine,University of Washington,http://www.washington.edu/students/crscat/microbio.html
Music (MUSIC),University of Washington,http://www.washington.edu/students/crscat/music.html
Music - Applied (MUSAP),University of Washington,http://www.washington.edu/students/crscat/appmus.html
Music Education (MUSED),University of Washington,http://www.washington.edu/students/crscat/mused.html
Music Ensemble (MUSEN),University of Washington,http://www.washington.edu/students/crscat/musensem.html
Music History (MUHST),University of Washington,http://www.washington.edu/students/crscat/mushist.html
Music Performance (MUSICP),University of Washington,http://www.washington.edu/students/crscat/musicp.html
Arabic (ARAB),University of Washington,http://www.washington.edu/students/crscat/arabic.html
Aramaic (ARAMIC),University of Washington,http://www.washington.edu/students/crscat/aramic.html
Coptic (COPTIC),University of Washington,http://www.washington.edu/students/crscat/coptic.html
Egyptian (EGYPT),University of Washington,http://www.washington.edu/students/crscat/egypt.html
Ge'ez (GEEZ),University of Washington,http://www.washington.edu/students/crscat/geez.html
Biblical Hebrew (BIBHEB),University of Washington,http://www.washington.edu/students/crscat/bibheb.html
Modern Hebrew (MODHEB),University of Washington,http://www.washington.edu/students/crscat/modheb.html
Near Eastern Languages and Civilization (NEAR E),University of Washington,http://www.washington.edu/students/crscat/neareast.html
Persian (PRSAN),University of Washington,http://www.washington.edu/students/crscat/persian.html
Turkic (TURKIC),University of Washington,http://www.washington.edu/students/crscat/turkc.html
Chagatai (CHGTAI),University of Washington,http://www.washington.edu/students/crscat/chgtai.html
Kazakh (KAZAKH),University of Washington,http://www.washington.edu/students/crscat/kazakh.html
Kyrgyz (KYRGYZ),University of Washington,http://www.washington.edu/students/crscat/kyrgyz.html
Uygur (UYGUR),University of Washington,http://www.washington.edu/students/crscat/uygur.html
Uzbek (UZBEK),University of Washington,http://www.washington.edu/students/crscat/uzbek.html
Turkish (TKISH),University of Washington,http://www.washington.edu/students/crscat/turkish.html
Ugaritic (UGARIT),University of Washington,http://www.washington.edu/students/crscat/ugarit.html
