Course,University,URL
Global Affairs,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/global-affairs
Global Health Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/global-health-studies
"Greek, Ancient (See under Classics)",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/classics
"Greek, Modern (See under Hellenic Studies)",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/hellenic-studies
Hebrew (See under Near Eastern Languages and Civilizations),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/near-eastern-languages-civilizations
Hellenic Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/hellenic-studies
Hindi (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
History,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/history
History of Art,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/history-of-art
"History of Science, Medicine, and Public Health",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/history-of-science-medicine-public-health
Human Rights Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/human-rights/
Humanities,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/humanities
Indonesian (See under Southeast Asia Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/southeast-asia-studies
isiZulu (See under African Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/african-studies
Italian,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/italian
Japanese (See under East Asian Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/east-asian-languages-literatures
Judaic Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/judaic-studies
Khmer (See under Southeast Asia Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/southeast-asia-studies
Kiswahili (See under African Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/african-studies
Korean (See under East Asian Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/east-asian-languages-literatures
Latin (See under Classics),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/classics
Latin American Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/latin-american-studies
Linguistics,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/linguistics
Literature,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/literature
Mathematics,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/mathematics
Mathematics and Philosophy,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/mathematics-philosophy
Mathematics and Physics,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/mathematics-physics
Mechanical Engineering,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/mechanical-engineering
Modern Middle East Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/modern-middle-east-studies
Molecular Biophysics and Biochemistry,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/molecular-biophysics-biochemistry
"Molecular, Cellular, and Developmental Biology",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/molecular-cellular-developmental-biology
Music,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/music
Naval Science,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/naval-science
Near Eastern Languages and Civilizations,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/near-eastern-languages-civilizations
Neuroscience,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/neuroscience
Persian (See under Near Eastern Languages and Civilizations),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/near-eastern-languages-civilizations
Philosophy,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/philosophy
Physics,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/physics
Physics and Geosciences,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/physics-geosciences/
Physics and Philosophy,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/physics-philosophy
Polish (See under Slavic Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/slavic-languages-literatures
Political Science,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/political-science
Portuguese,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/portuguese
Psychology,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/psychology
Public Health,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/public-health
Punjabi (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Religious Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/religious-studies
Romanian (See under Slavic Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/slavic-languages-literatures
"ROTC, U.S. Air Force (See under Aerospace Studies)",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/aerospace-studies
"ROTC, U.S. Navy and Marines (See under Naval Science)",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/naval-science
Russian (See under Slavic Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/slavic-languages-literatures
Russian and East European Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/russian-east-european-studies
Sanskrit (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Science,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/science/
Sinhala (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Slavic Languages and Literatures,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/slavic-languages-literatures
Sociology,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/sociology
South Asian Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Southeast Asia Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/southeast-asia-studies
Spanish,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/spanish
Special Divisional Majors,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/special-divisional-majors
Statistics and Data Science,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/statistics
Study of the City,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/study-of-city
Tamil (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Theater Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/theater-studies
Tibetan (See under South Asian Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/south-asian-studies
Turkish (See under Near Eastern Languages and Civilizations),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/near-eastern-languages-civilizations
Ukrainian (See under Slavic Languages and Literatures),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/urban-studies
Urban Studies,Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/urban-studies
Vietnamese (See under Southeast Asia Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/southeast-asia-studies
Wolof (See under African Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/womens-gender-sexuality-studies
"Women's, Gender, and Sexuality Studies",Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/womens-gender-sexuality-studies
Yorùbá (See under African Studies),Yale University,http://catalog.yale.edu/ycps/subjects-of-instruction/african-studies
