#Rank,University,Town
692,Symbiosis University of Applied Sciences,Indore
693,Monad University,Hapur
694,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore
695,Shridhar University,Pilani
696,Swarnim Gujarat Sports University,Gandhinagar ...
697,Suamandeep Vidyapeeth,Vadodara
698,"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata
699,Sri Devaraj Urs Academy of Higher Education and Research,Kolar
700,Chitkara University,Kalujhanda
701,GSFC University,Vadodara
702,Sri Balaji Vidyapeeth,Puducherry
703,Eternal University,Baru Sahib
704,Career Point University,Hamirpur
705,Karnataka Sanskrit University,Bangalore
706,University of Patanjali,Haridwar
707,Avantika University,Ujjain
708,Nanaji Deshmukh Veterinary Science University,Jabalpur
709,KLE Technological University,Hubli
710,IIMT University,Meerut
711,Indira Kala Sangeet Vishwavidyalaya,Khairagarh
712,G.L.S. University,Ahmedabad
713,Central University of Tibetan Studies,Varanasi
714,Mahatma Jyoti Rao Phoole University,Jaipur
715,"ICFAI University, Jharkhand",Ranchi
716,Kameshwar Singh Darbhanga Sanskrit University,Darbhanga
717,JIS University,Agarpara
718,BAHRA University,Waknaghat ...
719,Jananayak Chandrashekhar University,Ballia
720,Dakshina Bharat Hindi Prachar Sabha,Chennai
721,Shree Somnath Sanskrit University,Veraval
722,Utkal University of Culture,Bhubaneswar
723,Kushabhau Thakre Patrakarita Avam Jansanchar University,Raipur
724,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Lucknow
725,Arni University,Kathgarh
726,Tamil Nadu National Law School,Tiruchirappalli
727,"University of Agricultural and Horticultural Sciences, Shivamogga",Shimoga
728,Jharkhand Rai University,Ranchi
729,IEC University,Kalujhanda
730,Calorx Teachers University,Ahmedabad
731,State University of Performing and Visual Arts,Rohtak
732,Guru Ravidas Ayurved University,Hoshiarpur
733,University of Technology,Jaipur
734,Jagan Nath University,Jhajjar
735,"Indian Institute of Information Technology, Kalyani",Kalyani
736,Jagadguru Rambhadracharya Handicapped University,Chitrakoot
737,C.U. Shah University,Wadhwan
738,Thunchath Ezhuthachan Malayalam University,Tirur
739,"Indian Institute of Information Technology, Kottayam",Kottayam
740,Swami Vivekanand University,Sagar
741,Maharshi Panini Sanskrit Vishwavidyalaya,Ujjain
742,"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati
743,Mahatma Gandhi University of Medical Sciences and Technology,Jaipur
744,Banda University of Agriculture and Technology,Banda
745,Adesh University,Bathinda
746,Raffles University,Neemrana
747,Al-Falah University,Faridabad
748,Maharaja Agrasen University,Baddi
749,Tantia University,Sri Ganganagar
750,"Maharashtra National Law University, Nagpur",Nagpur
751,ITM Vocational University,Waghodia
752,Rayat-Bahra University,Kharar
753,Apex Professional University,Pasighat
754,North East Frontier Technical University,Aalo
755,Sri Siddhartha Academy of Higher Education,Tumkur
756,"Maharishi Markandeshwar University, Solan",Solan ...
757,Sai Nath University,Ranchi
759,Karpagam Academy of Higher Education,Coimbatore
760,Kamdhenu University,Gandhinagar
761,Martin Luther Christian University,Shillong
762,Anant National University,Ahmedabad
763,Bhatkhande Music Institute,Lucknow
764,Maharishi University of Management and Technology,Bilaspur ...
765,"SRM University, Sikkim",Gangtok
766,"ICFAI University, Jaipur",Jaipur
767,Pratap University,Jaipur
768,O.P. Jindal University,Raigarh
769,"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur
770,The Neotia University,Sarisha
771,Baba Mastnath University,Rohtak
772,Sri Venkateswara Vedic University,Tirupati
773,Rani Lakshmi Bai Central Agricultural University,Jhansi
774,"Maharashtra National Law University, Mumbai",Mumbai
775,Atal Bihari Vajpayee Hindi Vishwavidyalaya,Bhopal
776,Shri Guru Ram Rai University,Dehradun
777,Diamond Harbour Women's University,Sarisha
778,Haryana Vishwakarma Skill University,Faridabad
779,Sangam University,Bhilwara
780,Madhav University,Pindwara
781,Khallikote University,Berhampur
782,Meenakshi Academy of Higher Education and Research,Chennai
783,Dr. B.R. Ambedkar University of Social Sciences,Indore
784,The Sanskrit College and University,Kolkata
785,Vinayaka Missions Sikkim University,Gangtok
786,Mohammad Ali Jauhar University,Rampur
787,TransDisciplinary University,Bangalore
788,Sage University,Indore
789,Sri Sai University,Palampur
790,Indus International University,Bathu
791,"Indian Institute of Information Technology, Manipur",Imphal
792,Jaypee University Anoopshahr,Anupshahr
793,Institute of Advanced Research,Gandhinagar
794,Dr. A.P.J Abdul Kalam University,Indore
795,Spicer Adventist University,Pune
796,Sanchi University of Buddhist-Indic Studies,Sanchi
797,Sarvepalli Radhakrishnan University,Bhopal
798,"ICFAI University, Himachal Pradesh",Baddi
799,Rai Technology University,Doddaballapura
800,"ICFAI University, Mizoram",Aizawl
801,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Nagaon
802,"Indian Institute of Information Technology, Una",Una
803,Srinivas University,Mangalore
804,Maharishi University,Lucknow
805,Bhupendra Narayan Mandal University,Madhepura
806,Raja Mansingh Tomar Music and Arts University,Gwalior
807,"ICFAI University, Meghalaya",Tura
808,Sri Konda Laxman Telangana State Horticultural University,Hyderabad
809,Karnataka Janapada Vishwavidyalaya,Shiggaon
810,Seacom Skills University,Santiniketan
811,P P Savani University,Kosamba
812,Assam Women's University,Jorhat
813,"ICFAI University, Nagaland",Dimapur
814,Era University,Lucknow
815,"ICFAI University, Raipur",Durg
816,"Karnataka Veterinary, Animal and Fisheries Sciences University",Bidar
817,Bhartiya Skill Development University,Jaipur
818,Akal University,Bathinda
819,Assam Rajiv Gandhi University of Cooperative Management,Sivasagar
