#Rank,University,Town
290,Tamil Nadu Dr Ambedkar Law University,Chennai
291,National Institute of Food Technology Entrepreneurship and Management,Sonipat
292,Invertis University,Bareilly
293,Integral University,Lucknow
294,Mother Teresa Women's University,Kodaikanal
295,Sambalpur University,Burla
296,Central University of Jharkhand,Ranchi
297,"National Institute of Technology, Meghalaya",Shillong
298,Hindustan Institute of Technology and Science,Chennai
299,Bharath Institute of Higher Education and Research,Chennai
300,Ashoka University,Sonipat
301,Vinayaka Missions University,Salem
302,All India Institute of Medical Sciences Patna,Patna
303,Kuvempu University,Shimoga
304,YMCA University of Science and Technology,Faridabad
305,Uttarakhand Technical University,Dehradun
306,NITTE University,Mangalore
307,Padmashree Dr. D.Y. Patil Vidyapith,Navi Mumbai
308,Jaypee University of Information Technology,Waknaghat
309,Parul University,Waghodia
310,O.P. Jindal Global University,Sonipat
311,"Indian Institute of Information Technology, Design and Manufacturing",Chennai
312,Central University of Tamil Nadu,Thiruvarur
313,The English and Foreign Languages University,Hyderabad
314,Saveetha University,Chennai
315,Ganpat University,Mehsana
316,Aliah University,Kolkata
317,Professor Jayashankar Telangana State Agricultural University,Hyderabad
318,Central University of Haryana,Mahendragarh
319,Vignan University,Guntur
320,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
321,Bidhan Chandra Krishi Vishwavidyalaya,Mohanpur
322,Forest Research Institute,Dehradun
323,Dharmsinh Desai University,Nadiad
324,Centurion University of Technology and Management,Bhubaneswar
325,GLA University,Chaumuhan
326,Graphic Era University,Dehradun
327,Dr. Vishwanath Karad MIT World Peace University,Pune
328,Krishna University,Machilipatnam
329,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
330,Central University of Himachal Pradesh,Kangra
331,Sikkim University,Tadong
332,National Dairy Research Institute,Karnal ...
333,Bennett University,Greater Noida
334,"School of Planning and Architecture, Delhi",New Delhi
335,Kalasalingam University,Krishnankoil
336,Central University of Gujarat,Gandhinagar
337,Ranchi University,Ranchi
338,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai
339,Central University of South Bihar,Patna
340,Rashtriya Sanskrit Sansthan University,New Delhi
341,Jai Narain Vyas University,Jodhpur
342,ITM University Gwalior,Gwalior
343,Berhampur University,Berhampur
344,Pandit Deendayal Upadhyaya Shekhawati University,Sikar
345,Sant Longowal Institute of Engineering and Technology,Sangrur
346,Rayalaseema University,Kurnool
347,Allahabad State University,Allahabad
348,Rajiv Gandhi University,Itanagar
349,Rabindra Bharati University,Kolkata
350,"National Institute of Technology, Puducherry",Karaikal
351,Suresh Gyan Vihar University,Jaipur
352,University of Solapur,Solapur
353,North Eastern Regional Institute of Science and Technology,Itanagar
354,Central University of Karnataka,Gulbarga
355,"National Institute of Technology, Delhi",New Delhi
356,Indira Gandhi National Tribal University,Amarkantak
357,Dr. Shakuntala Misra Rehabilitation University,Lucknow
358,Hidayatullah National Law University,Raipur
359,Sri Krishnadevaraya University,Anantapur ...
360,"National Institute of Technology, Goa",Farmagudi
361,Chaudhary Devi Lal University,Sirsa
362,BML Munjal University,Gurgaon
363,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar
364,"Rani Channamma University, Belagavi",Belagavi
365,Vels University,Chennai
366,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
367,NALSAR University of Law,Hyderabad
368,"International Institute of Information Technology, Bhubaneswar",Bhubaneswar
369,Kolhan University,Chaibasa
370,Dr. Y.S. Parmar University of Horticulture and Forestry,Nauni
371,Nalanda University,Rajgir
372,Dr. D.Y. Patil Vidyapeeth,Pune
373,"University of Agricultural Sciences, Bangalore",Bangalore ...
374,NIMS University,Jaipur
375,Navsari Agricultural University,Navsari ...
376,Junagadh Agricultural University,Junagadh
377,RK University,Rajkot
378,REVA University,Bangalore
379,"National Institute of Technology, Srinagar",Srinagar
380,Flame University,Pune
381,Adikavi Nannaya University,Rajahmundry
382,Sri Padmavati Mahila Visvavidyalayam,Tirupati
383,Mody University of Science and Technology,Lakshmangarh
384,Assam Don Bosco University,Guwahati
385,Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
386,"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata
387,Teerthanker Mahaveer University,Moradabad
388,Central University of Kerala,Kasaragod
389,Dr. N.T.R. University of Health Sciences,Vijayawada
390,Gujarat Vidyapith,Ahmedabad ...
391,JSS Academy of Higher Education and Research,Mysore ...
392,JECRC University,Jaipur
393,KLE University,Belgaum ...
394,Dr. Babasaheb Ambedkar Technological University,Lonere
395,Dr. C.V. Raman University,Bilaspur
396,Tilak Maharashtra Vidyapeeth,Pune
397,Sardarkrushinagar Dantiwada Agricultural University,Palanpur
398,Karnavati University,Gandhinagar
399,Cotton University,Guwahati
400,"National Institute of Pharmaceutical Education and Research, Mohali",Mohali
401,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad
402,West Bengal University of Health Sciences,Kolkata
403,Swami Vivekanand Subharti University,Meerut
404,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar
405,JK Lakshmipat University,Jaipur
406,Manipur University,Imphal
407,Pravara Institute of Medical Sciences,Loni
408,Sher-i-Kashmir Institute of Medical Sciences,Srinagar
409,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
410,M.S. Ramaiah University of Applied Sciences,Bangalore
411,Xavier University Bhubaneswar,Harirajpur ...
412,Himachal Pradesh Technical University,Hamirpur
413,Chaudhary Ranbir Singh University,Jind
414,Ansal University,Gurgaon
415,Fakir Mohan University,Balasore ...
416,Mahatma Phule Krishi Vidyapeeth,Rahuri
417,Vikrama Simhapuri University,Nellore
418,Raj Rishi Bharthari Matsya University,Alwar
419,Central University of Orissa,Koraput
420,Gurukul Kangri Vishwavidyalaya,Haridwar
421,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
422,Rajiv Gandhi Institute of Petroleum Technology,Raebareli
423,Yogi Vemana University,Kadapa
424,Shree Guru Gobind Singh Tricentenary University,Gurgaon
425,Harcourt Butler Technical University,Kanpur
426,"Mahatma Gandhi University, Meghalaya",Khanapara
427,"National Institute of Technology, Arunachal Pradesh",Yupia
428,Lakshmibai National Institute of Physical Education,Gwalior
429,Nagaland University,Kohima
430,Dr.Y.S.R. Horticultural University,Tadepalligudem
431,"National Institute of Technology, Mizoram",Aizawl
432,"National Institute of Technology, Sikkim",Ravangla
433,Dev Sanskriti Vishwavidyalaya,Shantikunj
434,Karnataka State Law University,Hubli
435,Dr. M.G.R. Educational and Research Institute,Chennai
436,Gujarat Forensic Sciences University,Gandhinagar
437,North Orissa University,Baripada
438,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur
439,"National Institute of Technology, Uttarakhand",Srinagar
440,Indira Gandhi Krishi Vishwavidyalaya,Raipur
441,MIT Art Design and Technology University,Pune
442,Lingaya's University,Faridabad
443,Gujarat Ayurved University,Jamnagar
444,Uka Tarsadia University,Bardoli ...
445,The Indian Law Institute,New Delhi
446,Singhania University,Jhunjhunu
447,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
448,Jaypee University of Engineering and Technology,Raghogarh
449,Janardan Rai Nagar Rajasthan Vidhyapeeth University,Udaipur
450,Gangadhar Meher University,Sambalpur
451,Aryabhatta Knowledge University,Patna
452,Poornima University,Jaipur
453,Homi Bhabha National Institute,Mumbai
454,Vasantrao Naik Marathwada Krishi Vidyapeeth,Parbhani ...
455,Jain Vishva Bharati Institute,Ladnun
456,Shoolini University of Biotechnology and Management Sciences,Solan
457,Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
458,Maharashtra Animal and Fishery Sciences University,Nagpur
459,Sarguja University,Ambikapur
460,K.R. Mangalam University,Gurgaon
461,Rajiv Gandhi National University of Law,Patiala
462,"School of Planning and Architecture, Bhopal",Bhopal
463,Bhakta Kavi Narsinh Mehta University,Junagadh
464,Rajasthan University of Veterinary and Animal Sciences,Bikaner
465,"University of Engineering and Management, Kolkata",Kolkata
466,"University of Agricultural Sciences, Dharwad",Dharwad
467,Mewar University,Chittorgarh
468,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar
469,Jayoti Vidyapeeth Women's University,Jaipur
470,Maharana Pratap University of Agriculture and Technology,Udaipur
471,"Indira Gandhi Institute of Medical Sciences, Sheikhpura",Patna
472,Avinashilingam University,Coimbatore
473,Charotar University of Science and Technology,Anand
474,Garden City University,Bangalore
475,Satavahana University,Karimnagar
476,GD Goenka University,Gurgaon
477,Himalayan University,Itanagar
478,Tamil University,Thanjavur
479,Sri Sathya Sai Institute of Higher Learning,Anantapur
480,Dr. Ram Manohar Lohiya National Law University,Lucknow
481,"ICFAI University, Tripura",Agartala
482,"National Institute of Technology, Manipur",Imphal
483,SRM University Haryana,Sonipat
484,Telangana University,Nizamabad
485,Dravidian University,Kuppam
486,Shobhit University,Meerut
487,"Pacific University, India",Udaipur
488,Dr. Rajendra Prasad Central Agriculture University,Samastipur
489,Ramakrishna Mission Vivekananda University,Belur ...
490,Doon University,Dehradun
491,"National Institute of Technology, Nagaland",Dimapur
492,"Institute of Infrastructure, Technology, Research and Management",Ahmedabad
493,Awadhesh Pratap Singh University,Rewa
494,Maharaja Surajmal Brij University,Bharatpur
495,Palamuru University,Mahabubnagar
496,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Akola
497,Kerala University of Health Sciences,Thrissur
498,"School of Planning and Architecture, Vijayawada",Vijayawada
499,Thiruvalluvar University,Vellore
500,Baddi University of Emerging Sciences and Technologies,Baddi
501,IIHMR University,Jaipur
502,National Law University and Judicial Academy,Guwahati
503,Uttaranchal University,Dehradun
504,Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan
505,Institute of Advanced Studies in Education,Sardarshahr
506,Central University of Jammu,Jammu
507,Kerala Veterinary and Animal Sciences University,Pookode
508,Marwadi University,Rajkot
509,Birsa Agricultural University,Ranchi
510,Sri Dev Suman Uttarakhand University,Tehri
511,Sri Venkateswara Institute of Medical Sciences,Tirupati
512,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
513,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
514,Sido Kanhu Murmu University,Dumka
515,Jai Prakash Vishwavidyalaya,Chapra
516,Srimanta Sankaradeva University of Health Sciences,Guwahati
517,Rashtriya Sanskrit Vidyapeetha,Tirupati
518,Sanskriti University,Mathura
519,Graphic Era Hill University,Clement Town
520,Ayush and Health Sciences University of Chhattisgarh,Raipur
521,Noida International University,Greater Noida
522,"Mahatma Gandhi University, Nalgonda",Nalgonda
523,Chanakya National Law University,Patna
524,Babu Banarasi Das University,Lucknow
525,Sri Venkateswara Veterinary University,Tirupati
526,Yenepoya University,Mangalore
527,Govind Guru Tribal University,Banswara
528,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
529,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi
530,DAV University,Jalandhar
531,Sree Sankaracharya University of Sanskrit,Kalady
532,"National Law University, Orissa",Cuttack
533,The IIS University,Jaipur
534,Presidency University,Bangalore
535,Central Institute of Fisheries Education,Mumbai
536,Potti Sreeramulu Telugu University,Hyderabad
537,"National Institute of Pharmaceutical Education and Research, Ahmedabad",Ahmedabad
538,Rai University,Dholka
539,National Law Institute University,Bhopal
540,Davangere University,Davangere
541,Sidho Kanho Birsha University,Purulia ...
542,Karnataka State Women's University,Bijapur ...
543,"Indian Institute of Information Technology, Guwahati",Guwahati
544,Hemwati Nandan Bahuguna Medical University,Dehradun
545,Uttar Banga Krishi Viswavidyalaya,Pundibari
546,Gokhale Institute of Politics and Economics,Pune
547,Maharaja Ranjit Singh Punjab Technical University,Bathinda
