Course,URL,University
Environmental Studies - Gaylord Nelson Institute (ENVIR ST),http://guide.wisc.edu/courses/envir_st/,University of Wisconsin-Madison
Family Medicine (FAM MED),http://guide.wisc.edu/courses/fam_med/,University of Wisconsin-Madison
Farm and Industry Short Course (FISC),http://guide.wisc.edu/courses/fisc/,University of Wisconsin-Madison
"Finance, Investment and Banking (FINANCE)",http://guide.wisc.edu/courses/finance/,University of Wisconsin-Madison
Folklore Program (FOLKLORE),http://guide.wisc.edu/courses/folklore/,University of Wisconsin-Madison
Food Science (FOOD SCI),http://guide.wisc.edu/courses/food_sci/,University of Wisconsin-Madison
Forest and Wildlife Ecology (F&W ECOL),http://guide.wisc.edu/courses/f_w_ecol/,University of Wisconsin-Madison
French (French and Italian) (FRENCH),http://guide.wisc.edu/courses/french/,University of Wisconsin-Madison
Gender and Womens Studies (GEN&WS),http://guide.wisc.edu/courses/gen_ws/,University of Wisconsin-Madison
General Business (GEN BUS),http://guide.wisc.edu/courses/gen_bus/,University of Wisconsin-Madison
Genetics (GENETICS),http://guide.wisc.edu/courses/genetics/,University of Wisconsin-Madison
Geography (GEOG),http://guide.wisc.edu/courses/geog/,University of Wisconsin-Madison
Geological Engineering (G L E),http://guide.wisc.edu/courses/g_l_e/,University of Wisconsin-Madison
Geoscience (GEOSCI),http://guide.wisc.edu/courses/geosci/,University of Wisconsin-Madison
German (GERMAN),http://guide.wisc.edu/courses/german/,University of Wisconsin-Madison
"German, Nordic, and Slavic (GNS)",http://guide.wisc.edu/courses/gns/,University of Wisconsin-Madison
Greek (Classics) (GREEK),http://guide.wisc.edu/courses/greek/,University of Wisconsin-Madison
Hebrew-Biblical (HEBR-BIB),http://guide.wisc.edu/courses/hebr_bib/,University of Wisconsin-Madison
Hebrew-Modern (HEBR-MOD),http://guide.wisc.edu/courses/hebr_mod/,University of Wisconsin-Madison
History (HISTORY),http://guide.wisc.edu/courses/history/,University of Wisconsin-Madison
History of Science (HIST SCI),http://guide.wisc.edu/courses/hist_sci/,University of Wisconsin-Madison
Horticulture (HORT),http://guide.wisc.edu/courses/hort/,University of Wisconsin-Madison
Human Development and Family Studies (HDFS),http://guide.wisc.edu/courses/hdfs/,University of Wisconsin-Madison
Human Oncology (H ONCOL),http://guide.wisc.edu/courses/h_oncol/,University of Wisconsin-Madison
Industrial and Systems Engineering (I SY E),http://guide.wisc.edu/courses/i_sy_e/,University of Wisconsin-Madison
Information Systems (INFO SYS),http://guide.wisc.edu/courses/info_sys/,University of Wisconsin-Madison
Integrated Arts (INTEGART),http://guide.wisc.edu/courses/integart/,University of Wisconsin-Madison
Integrated Liberal Studies (ILS),http://guide.wisc.edu/courses/ils/,University of Wisconsin-Madison
Integrated Science (INTEGSCI),http://guide.wisc.edu/courses/integsci/,University of Wisconsin-Madison
Interdisciplinary Courses (C A L S) (INTER-AG),http://guide.wisc.edu/courses/inter_ag/,University of Wisconsin-Madison
Interdisciplinary Courses (Engineering) (INTEREGR),http://guide.wisc.edu/courses/interegr/,University of Wisconsin-Madison
Interdisciplinary Courses (L & S) (INTER-LS),http://guide.wisc.edu/courses/inter_ls/,University of Wisconsin-Madison
Interdisciplinary Courses (SOHE) (INTER-HE),http://guide.wisc.edu/courses/inter_he/,University of Wisconsin-Madison
International Academic Programs – Study Abroad (STDYABRD),http://guide.wisc.edu/courses/stdyabrd/,University of Wisconsin-Madison
International Business (INTL BUS),http://guide.wisc.edu/courses/intl_bus/,University of Wisconsin-Madison
International Studies (INTL ST),http://guide.wisc.edu/courses/intl_st/,University of Wisconsin-Madison
Italian (French and Italian) (ITALIAN),http://guide.wisc.edu/courses/italian/,University of Wisconsin-Madison
Jewish Studies (JEWISH),http://guide.wisc.edu/courses/jewish/,University of Wisconsin-Madison
Journalism and Mass Communication (JOURN),http://guide.wisc.edu/courses/journ/,University of Wisconsin-Madison
Kinesiology (KINES),http://guide.wisc.edu/courses/kines/,University of Wisconsin-Madison
La Follette School of Public Affairs (PUB AFFR),http://guide.wisc.edu/courses/pub_affr/,University of Wisconsin-Madison
Landscape Architecture (LAND ARC),http://guide.wisc.edu/courses/land_arc/,University of Wisconsin-Madison
Languages and Cultures of Asia - Languages (LCA LANG),http://guide.wisc.edu/courses/lca_lang/,University of Wisconsin-Madison
Languages and Cultures of Asia (LCA),http://guide.wisc.edu/courses/lca/,University of Wisconsin-Madison
"Latin American, Caribbean, and Iberian Studies (LACIS)",http://guide.wisc.edu/courses/lacis/,University of Wisconsin-Madison
Latin (Classics) (LATIN),http://guide.wisc.edu/courses/latin/,University of Wisconsin-Madison
Law (LAW),http://guide.wisc.edu/courses/law/,University of Wisconsin-Madison
Legal Studies (LEGAL ST),http://guide.wisc.edu/courses/legal_st/,University of Wisconsin-Madison
Library and Information Studies (L I S),http://guide.wisc.edu/courses/l_i_s/,University of Wisconsin-Madison
Life Sciences Communication (LSC),http://guide.wisc.edu/courses/lsc/,University of Wisconsin-Madison
Linguistics (LINGUIS),http://guide.wisc.edu/courses/linguis/,University of Wisconsin-Madison
Literature in Translation (LITTRANS),http://guide.wisc.edu/courses/littrans/,University of Wisconsin-Madison
Management and Human Resources (M H R),http://guide.wisc.edu/courses/m_h_r/,University of Wisconsin-Madison
Marketing (MARKETNG),http://guide.wisc.edu/courses/marketng/,University of Wisconsin-Madison
Materials Science and Engineering (M S & E),http://guide.wisc.edu/courses/m_s_e/,University of Wisconsin-Madison
Mathematics (MATH),http://guide.wisc.edu/courses/math/,University of Wisconsin-Madison
Mechanical Engineering (M E),http://guide.wisc.edu/courses/m_e/,University of Wisconsin-Madison
Medical Genetics (MD GENET),http://guide.wisc.edu/courses/md_genet/,University of Wisconsin-Madison
Medical History and Bioethics (MED HIST),http://guide.wisc.edu/courses/med_hist/,University of Wisconsin-Madison
Medical Microbiology and Immunology (M M & I),http://guide.wisc.edu/courses/m_m_i/,University of Wisconsin-Madison
Medical Physics (MED PHYS),http://guide.wisc.edu/courses/med_phys/,University of Wisconsin-Madison
Medical Sciences - Medical School (MED SC-M),http://guide.wisc.edu/courses/med_sc_m/,University of Wisconsin-Madison
Medical Sciences - Veterinary Medicine (MED SC-V),http://guide.wisc.edu/courses/med_sc_v/,University of Wisconsin-Madison
Medicine (MEDICINE),http://guide.wisc.edu/courses/medicine/,University of Wisconsin-Madison
Medieval Studies (MEDIEVAL),http://guide.wisc.edu/courses/medieval/,University of Wisconsin-Madison
Microbiology (MICROBIO),http://guide.wisc.edu/courses/microbio/,University of Wisconsin-Madison
Military Science (MIL SCI),http://guide.wisc.edu/courses/mil_sci/,University of Wisconsin-Madison
Molecular and Environmental Toxicology Center (M&ENVTOX),http://guide.wisc.edu/courses/m_envtox/,University of Wisconsin-Madison
Molecular Biology (MOL BIOL),http://guide.wisc.edu/courses/mol_biol/,University of Wisconsin-Madison
Music (MUSIC),http://guide.wisc.edu/courses/music/,University of Wisconsin-Madison
Music-Performance (MUS PERF),http://guide.wisc.edu/courses/mus_perf/,University of Wisconsin-Madison
Naval Science (NAV SCI),http://guide.wisc.edu/courses/nav_sci/,University of Wisconsin-Madison
Neurological Surgery (NEURSURG),http://guide.wisc.edu/courses/neursurg/,University of Wisconsin-Madison
Neurology (NEUROL),http://guide.wisc.edu/courses/neurol/,University of Wisconsin-Madison
Neuroscience (NEURODPT),http://guide.wisc.edu/courses/neurodpt/,University of Wisconsin-Madison
Neuroscience Training Program (NTP),http://guide.wisc.edu/courses/ntp/,University of Wisconsin-Madison
Nuclear Engineering (N E),http://guide.wisc.edu/courses/n_e/,University of Wisconsin-Madison
Nursing (NURSING),http://guide.wisc.edu/courses/nursing/,University of Wisconsin-Madison
Nutritional Sciences (NUTR SCI),http://guide.wisc.edu/courses/nutr_sci/,University of Wisconsin-Madison
Obstetrics and Gynecology (OBS&GYN),http://guide.wisc.edu/courses/obs_gyn/,University of Wisconsin-Madison
Occupational Therapy (DEPARTMENT OF KINESIOLOGY) (OCC THER),http://guide.wisc.edu/courses/occ_ther/,University of Wisconsin-Madison
Oncology (ONCOLOGY),http://guide.wisc.edu/courses/oncology/,University of Wisconsin-Madison
Operations and Technology Management (OTM),http://guide.wisc.edu/courses/otm/,University of Wisconsin-Madison
Ophthalmology and Visual Sciences (OPHTHALM),http://guide.wisc.edu/courses/ophthalm/,University of Wisconsin-Madison
Patho-Biological Sciences (PATH-BIO),http://guide.wisc.edu/courses/path_bio/,University of Wisconsin-Madison
Pathology and Laboratory Medicine (PATH),http://guide.wisc.edu/courses/path/,University of Wisconsin-Madison
