Course,University,URL
Logic and Philosophy of Science (LPS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/lps/
Management MBA (MGMTMBA),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmtmba/
Management (MGMT),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmt/
Management PhD (MGMTPHD),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmtphd/
Master of Professional Accountancy (MPAC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mpac/
Mathematics (MATH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/math/
Mechanical and Aerospace Engineering (ENGRMAE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/engrmae/
Medical Pharmacology (PHARM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/pharm/
Microbiology and Molecular Genetics (M&MG),"University of California, Irvine",http://catalogue.uci.edu/allcourses/m_mg/
Molecular Biology and Biochemistry (MOL BIO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mol_bio/
Music (MUSIC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/music/
Networked Systems (NET SYS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/net_sys/
Neurobiology and Behavior (NEURBIO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/neurbio/
Nursing Science (NUR SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/nur_sci/
Pathology and Laboratory Medicine (PATH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/path/
Pediatrics Genetics (PED GEN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/ped_gen/
Persian (PERSIAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/persian/
Pharmaceutical Sciences (PHRMSCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/phrmsci/
Philosophy (PHILOS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/philos/
Physical Science (PHY SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/phy_sci/
Physics (PHYSICS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/physics/
Physiology and Biophysics (PHYSIO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/physio/
"Planning, Policy, and Design (PP&D)","University of California, Irvine",http://catalogue.uci.edu/allcourses/pp_d/
Political Science (POL SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/pol_sci/
Portuguese (PORTUG),"University of California, Irvine",http://catalogue.uci.edu/allcourses/portug/
Psychology and Social Behavior (PSY BEH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/psy_beh/
Psychology (PSYCH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/psych/
Public Health (PUBHLTH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/pubhlth/
Public Policy (PUB POL),"University of California, Irvine",http://catalogue.uci.edu/allcourses/pub_pol/
Religious Studies (REL STD),"University of California, Irvine",http://catalogue.uci.edu/allcourses/rel_std/
Reserve Officers' Training Corps (ROTC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/rotc/
Russian (RUSSIAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/russian/
Social Ecology (SOCECOL),"University of California, Irvine",http://catalogue.uci.edu/allcourses/socecol/
Social Policy and Public Service (SPPS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/spps/
Social Science (SOC SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/soc_sci/
Sociology (SOCIOL),"University of California, Irvine",http://catalogue.uci.edu/allcourses/sociol/
Spanish (SPANISH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/spanish/
Statistics (STATS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/stats/
Toxicology (TOX),"University of California, Irvine",http://catalogue.uci.edu/allcourses/tox/
UC Washington DC (UCDC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/ucdc/
University Affairs (UNI AFF),"University of California, Irvine",http://catalogue.uci.edu/allcourses/uni_aff/
University Studies (UNI STU),"University of California, Irvine",http://catalogue.uci.edu/allcourses/uni_stu/
Urban Planning and Public Policy (UPPP),"University of California, Irvine",http://catalogue.uci.edu/allcourses/uppp/
Vietnamese (VIETMSE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/vietmse/
Visual Studies (VIS STD),"University of California, Irvine",http://catalogue.uci.edu/allcourses/vis_std/
Writing (WRITING),"University of California, Irvine",http://catalogue.uci.edu/allcourses/writing/
