Course,University,URL
"German | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_german/
Greek Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_greek_studies/
"Haitian Creole | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_lang_haitiancreole/
Health Education and Behavior,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_education_and_behavior/
Health Professions,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_professions/
Health Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_science/
"Hebrew | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_hebrew/
"Hindi-Urdu | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_hindi/
History,University of Florida,https://catalog.ufl.edu/UGRD/courses/history/
Honors Program,University of Florida,https://catalog.ufl.edu/UGRD/courses/honors_program/
Horticultural Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/agl_ag_horticultural_sciences/
Hungarian | European Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/hungarian/
Industrial and Systems Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/industrial_and_systems_engineering/
Information Systems and Operations Management,University of Florida,https://catalog.ufl.edu/UGRD/courses/information_systems/
Innovation Academy,University of Florida,https://catalog.ufl.edu/UGRD/courses/innovation_academy/
Interdisciplinary Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/interdisciplinary_studies/
Interior Design,University of Florida,https://catalog.ufl.edu/UGRD/courses/interior_design/
"Italian | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_italian/
"Japanese | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_japanese/
Jewish Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/jewish_studies/
Journalism,University of Florida,https://catalog.ufl.edu/UGRD/courses/journalism/
"Korean | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_korean/
Landscape Architecture,University of Florida,https://catalog.ufl.edu/UGRD/courses/landscape_architecture/
"Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/foreign_languages_and_literatures/
Latin American Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/latin_american_studies/
Latin | Classics,University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_latin/
"Lingala | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/lingala/
Linguistics,University of Florida,https://catalog.ufl.edu/UGRD/courses/linguistics/
Management,University of Florida,https://catalog.ufl.edu/UGRD/courses/management/
Marketing,University of Florida,https://catalog.ufl.edu/UGRD/courses/marketing/
Mass Communication,University of Florida,https://catalog.ufl.edu/UGRD/courses/mass_communication/
Materials Science and Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/materials_science_and_engineering/
Mathematics,University of Florida,https://catalog.ufl.edu/UGRD/courses/mathematics/
Mechanical and Aerospace Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/mechanical_and_aerospace_engineering/
Medicine,University of Florida,https://catalog.ufl.edu/UGRD/courses/medicine/
Medieval and Early Modern Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/medieval_and_early_modern_studies/
Microbiology and Cell Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/microbiology_and_cell_science/
Military Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/military_science_/
Music,University of Florida,https://catalog.ufl.edu/UGRD/courses/music/
Nuclear and Radiological Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/
Nursing,University of Florida,https://catalog.ufl.edu/UGRD/courses/nursing/
Occupational Therapy,University of Florida,https://catalog.ufl.edu/UGRD/courses/pbh_hp_occupational_therapy/
Packaging Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/packaging_science/
Pest Management | Plant Protection,University of Florida,https://catalog.ufl.edu/UGRD/courses/pest_management_plant_protection/
Pharmacy,University of Florida,https://catalog.ufl.edu/UGRD/courses/pharmacy/
Philosophy,University of Florida,https://catalog.ufl.edu/UGRD/courses/philosophy/
Physics,University of Florida,https://catalog.ufl.edu/UGRD/courses/physics/
Plant Pathology,University of Florida,https://catalog.ufl.edu/UGRD/courses/plant_pathology/
"Polish | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_polish/
Political Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/political_science/
Portuguese | Spanish and Portuguese Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/portuguese/
Psychology,University of Florida,https://catalog.ufl.edu/UGRD/courses/psychology/
Public Relations,University of Florida,https://catalog.ufl.edu/UGRD/courses/public_relations/
Rehabilitative Services,University of Florida,https://catalog.ufl.edu/UGRD/courses/rehabilitative_services/
Religion,University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_religion/
"Russian | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_russian/
Sociology,University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_sociology/
Soil and Water Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/
Spanish and Portuguese Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/hispanic_latin_american_languages_literatures_linguistics/
Spanish | Spanish and Portuguese Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/spanish/
"Speech, Language and Hearing Sciences",University of Florida,https://catalog.ufl.edu/UGRD/courses/pbh_hp_spch_lang_hear_sci/
