Course,University,URL
Computational Science and Engr (CSE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/cse/
Computer Science (CS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/cs/
Creative Writing (CW),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/cw/
Crop Sciences (CPSC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/cpsc/
Curriculum and Instruction (CI),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ci/
Czech (CZCH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/czch/
Dance (DANC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/danc/
"Earth, Society, & Environment (ESE)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ese/
E. Asian Languages & Cultures (EALC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ealc/
Economics (ECON),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/econ/
"Ed Policy, Org & Ldership (EPOL)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/epol/
Educational Policy Studies (EPS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/eps/
Educational Practice (EDPR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/edpr/
Educational Psychology (EPSY),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/epsy/
Education (EDUC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/educ/
Educ Organization & Leadership (EOL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/eol/
Electrical and Computer Engr (ECE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ece/
Engineering (ENG),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/eng/
Engineering Honors (ENGH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/engh/
English as an Intl Language (EIL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/eil/
English as a Second Language (ESL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/esl/
English (ENGL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/engl/
Entomology (ENT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ent/
Environmental Studies (ENVS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/envs/
Environmental Sustainability (ENSU),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ensu/
European Union Studies (EURO),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/euro/
Finance (FIN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/fin/
Fine and Applied Arts (FAA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/faa/
Food Science & Human Nutrition (FSHN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/fshn/
Foreign Language Teacher Education (FLTE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/flte/
French (FR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/fr/
Gender and Women's Studies (GWS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/gws/
General Engineering (GE) -- Changed to Systems Engineering and Design (SE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ge/
General Studies (GS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/gs/
Geography (GEOG),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/geog/
Geology (GEOL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/geol/
German (GER),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ger/
Germanic (GMC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/gmc/
Global Studies (GLBL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/glbl/
Graduate College (GC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/gc/
Grand Challenge Learning (GCL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/gcl/
Greek (GRK),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/grk/
"Hebrew, Modern and Classical (HEBR)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hebr/
Hindi (HNDI),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hndi/
History (HIST),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hist/
Horticulture (HORT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hort/
Human Dev and Family Studies (HDFS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hdfs/
Human Dimensions of Env Sys (HDES),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hdes/
Humanities Courses (HUM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hum/
