Course,URL,University
Hindi (HIND),https://catalog.upenn.edu/courses/hind/,University of Pennsylvania
Historic Preservation (HSPV),https://catalog.upenn.edu/courses/hspv/,University of Pennsylvania
History & Sociology of Science (HSSC),https://catalog.upenn.edu/courses/hssc/,University of Pennsylvania
History (HIST),https://catalog.upenn.edu/courses/hist/,University of Pennsylvania
Immunology (IMUN),https://catalog.upenn.edu/courses/imun/,University of Pennsylvania
Integrated Product Design (IPD),https://catalog.upenn.edu/courses/ipd/,University of Pennsylvania
Integrated Studies (INTG),https://catalog.upenn.edu/courses/intg/,University of Pennsylvania
International MPA (IMPA),https://catalog.upenn.edu/courses/impa/,University of Pennsylvania
International Relations (INTR),https://catalog.upenn.edu/courses/intr/,University of Pennsylvania
Italian (ITAL),https://catalog.upenn.edu/courses/ital/,University of Pennsylvania
Japanese (JPAN),https://catalog.upenn.edu/courses/jpan/,University of Pennsylvania
Jewish Studies Program (JWST),https://catalog.upenn.edu/courses/jwst/,University of Pennsylvania
Korean (KORN),https://catalog.upenn.edu/courses/korn/,University of Pennsylvania
Landscape Architecture & Regional Planning (LARP),https://catalog.upenn.edu/courses/larp/,University of Pennsylvania
Latin (LATN),https://catalog.upenn.edu/courses/latn/,University of Pennsylvania
Latin American & Latino Studies (LALS),https://catalog.upenn.edu/courses/lals/,University of Pennsylvania
Leadership and Communication (LEAD),https://catalog.upenn.edu/courses/lead/,University of Pennsylvania
Legal Studies & Business Ethics (LGST),https://catalog.upenn.edu/courses/lgst/,University of Pennsylvania
Linguistics (LING),https://catalog.upenn.edu/courses/ling/,University of Pennsylvania
"Logic, Information and Computation (LGIC)",https://catalog.upenn.edu/courses/lgic/,University of Pennsylvania
Malayalam (MLYM),https://catalog.upenn.edu/courses/mlym/,University of Pennsylvania
Management (MGMT),https://catalog.upenn.edu/courses/mgmt/,University of Pennsylvania
Management of Economics (MGEC),https://catalog.upenn.edu/courses/mgec/,University of Pennsylvania
Marketing (MKTG),https://catalog.upenn.edu/courses/mktg/,University of Pennsylvania
Master of Chemical Sciences (MCS),https://catalog.upenn.edu/courses/mcs/,University of Pennsylvania
Master of Science in Social Policy (MSSP),https://catalog.upenn.edu/courses/mssp/,University of Pennsylvania
Master of Science in Translational Research (MTR),https://catalog.upenn.edu/courses/mtr/,University of Pennsylvania
Master of Urban Spatial Analytics (MUSA),https://catalog.upenn.edu/courses/musa/,University of Pennsylvania
Materials Science and Engineering (MSE),https://catalog.upenn.edu/courses/mse/,University of Pennsylvania
Mathematics (MATH),https://catalog.upenn.edu/courses/math/,University of Pennsylvania
Mechanical Engineering and Applied Mechanics (MEAM),https://catalog.upenn.edu/courses/meam/,University of Pennsylvania
Military Science (MSCI),https://catalog.upenn.edu/courses/msci/,University of Pennsylvania
Music (MUSC),https://catalog.upenn.edu/courses/musc/,University of Pennsylvania
Nanotechnology (NANO),https://catalog.upenn.edu/courses/nano/,University of Pennsylvania
Naval Science (NSCI),https://catalog.upenn.edu/courses/nsci/,University of Pennsylvania
Near Eastern Languages & Civilization (NELC),https://catalog.upenn.edu/courses/nelc/,University of Pennsylvania
Network and Social Systems Engineering (NETS),https://catalog.upenn.edu/courses/nets/,University of Pennsylvania
Neuroscience (NGG),https://catalog.upenn.edu/courses/ngg/,University of Pennsylvania
Nonprofit Leadership (NPLD),https://catalog.upenn.edu/courses/npld/,University of Pennsylvania
Nursing (NURS),https://catalog.upenn.edu/courses/nurs/,University of Pennsylvania
"Operations, Information and Decisions (OIDD)",https://catalog.upenn.edu/courses/oidd/,University of Pennsylvania
Organizational Anthropolgy (ORGC),https://catalog.upenn.edu/courses/orgc/,University of Pennsylvania
Organizational Dynamics (DYNM),https://catalog.upenn.edu/courses/dynm/,University of Pennsylvania
Persian (PERS),https://catalog.upenn.edu/courses/pers/,University of Pennsylvania
Pharmacology (PHRM),https://catalog.upenn.edu/courses/phrm/,University of Pennsylvania
Philosophy (PHIL),https://catalog.upenn.edu/courses/phil/,University of Pennsylvania
"Philosophy, Politics, Economics (PPE)",https://catalog.upenn.edu/courses/ppe/,University of Pennsylvania
Physics (PHYS),https://catalog.upenn.edu/courses/phys/,University of Pennsylvania
Political Science (PSCI),https://catalog.upenn.edu/courses/psci/,University of Pennsylvania
Portuguese (PRTG),https://catalog.upenn.edu/courses/prtg/,University of Pennsylvania
Professional Writing (PROW),https://catalog.upenn.edu/courses/prow/,University of Pennsylvania
Psychology (PSYC),https://catalog.upenn.edu/courses/psyc/,University of Pennsylvania
Public Health Studies (PUBH),https://catalog.upenn.edu/courses/pubh/,University of Pennsylvania
Punjabi (PUNJ),https://catalog.upenn.edu/courses/punj/,University of Pennsylvania
Quechua (QUEC),https://catalog.upenn.edu/courses/quec/,University of Pennsylvania
Real Estate (REAL),https://catalog.upenn.edu/courses/real/,University of Pennsylvania
Regulation (REG),https://catalog.upenn.edu/courses/reg/,University of Pennsylvania
Religious Studies (RELS),https://catalog.upenn.edu/courses/rels/,University of Pennsylvania
Robotics (ROBO),https://catalog.upenn.edu/courses/robo/,University of Pennsylvania
Romance Languages (ROML),https://catalog.upenn.edu/courses/roml/,University of Pennsylvania
Russian (RUSS),https://catalog.upenn.edu/courses/russ/,University of Pennsylvania
Sanskrit (SKRT),https://catalog.upenn.edu/courses/skrt/,University of Pennsylvania
Scandinavian (SCND),https://catalog.upenn.edu/courses/scnd/,University of Pennsylvania
"Science, Technology & Society (STSC)",https://catalog.upenn.edu/courses/stsc/,University of Pennsylvania
Scientific Computing (SCMP),https://catalog.upenn.edu/courses/scmp/,University of Pennsylvania
Slavic (SLAV),https://catalog.upenn.edu/courses/slav/,University of Pennsylvania
Social Work (SWRK),https://catalog.upenn.edu/courses/swrk/,University of Pennsylvania
Sociology (SOCI),https://catalog.upenn.edu/courses/soci/,University of Pennsylvania
South Asia Studies (SAST),https://catalog.upenn.edu/courses/sast/,University of Pennsylvania
Spanish (SPAN),https://catalog.upenn.edu/courses/span/,University of Pennsylvania
Statistics (STAT),https://catalog.upenn.edu/courses/stat/,University of Pennsylvania
Tamil (TAML),https://catalog.upenn.edu/courses/taml/,University of Pennsylvania
Telugu (TELU),https://catalog.upenn.edu/courses/telu/,University of Pennsylvania
Theatre Arts (THAR),https://catalog.upenn.edu/courses/thar/,University of Pennsylvania
Turkish (TURK),https://catalog.upenn.edu/courses/turk/,University of Pennsylvania
Urban Studies (URBS),https://catalog.upenn.edu/courses/urbs/,University of Pennsylvania
Urdu (URDU),https://catalog.upenn.edu/courses/urdu/,University of Pennsylvania
Veterinary & Biomedical Sciences (VBMS),https://catalog.upenn.edu/courses/vbms/,University of Pennsylvania
Veterinary Clinical Studies - Medicine Courses (VMED),https://catalog.upenn.edu/courses/vmed/,University of Pennsylvania
Veterinary Clinical Studies - New Bolton Center (VCSN),https://catalog.upenn.edu/courses/vcsn/,University of Pennsylvania
Veterinary Clinical Studies - Surgery Courses (VSUR),https://catalog.upenn.edu/courses/vsur/,University of Pennsylvania
Veterinary Clinical Studies and Advanced Medicine - Philadelphia (VCSP),https://catalog.upenn.edu/courses/vcsp/,University of Pennsylvania
Veterinary Independent Study & Research (VISR),https://catalog.upenn.edu/courses/visr/,University of Pennsylvania
Veterinary Pathobiology (VPTH),https://catalog.upenn.edu/courses/vpth/,University of Pennsylvania
Viper (VIPR),https://catalog.upenn.edu/courses/vipr/,University of Pennsylvania
Visual Studies (VLST),https://catalog.upenn.edu/courses/vlst/,University of Pennsylvania
Wharton Undergraduate (WH),https://catalog.upenn.edu/courses/wh/,University of Pennsylvania
Yiddish (YDSH),https://catalog.upenn.edu/courses/ydsh/,University of Pennsylvania
